run,step,layer,t,dim,p_at_L_5_linear,p_at_L_5_mlp,p_at_L,p_at_L_2,p_at_L_5,contact_n_test,cath_level,cath_acc,cath_f1,cath_classes,manifest,ckpt_path,error
repa_l4_256,400000,0,0.75,512,0.3837,0.4500,0.3197,0.3829,0.4500,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,1,0.75,512,0.4026,0.5143,0.3615,0.4375,0.5143,39,T,0.9000,0.9259,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,2,0.75,512,0.4952,0.5719,0.3863,0.4809,0.5719,39,T,0.9000,0.8667,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,3,0.75,512,0.5212,0.5969,0.4189,0.5204,0.5969,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,4,0.75,512,0.5206,0.6632,0.4513,0.5578,0.6632,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,5,0.75,512,0.5373,0.5634,0.3845,0.4667,0.5634,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,6,0.75,512,0.5270,0.5552,0.3835,0.4607,0.5552,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,7,0.75,512,0.5317,0.5493,0.3750,0.4586,0.5493,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,8,0.75,512,0.5391,0.5572,0.3806,0.4690,0.5572,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
repa_l4_256,400000,9,0.75,512,0.5305,0.5507,0.3708,0.4582,0.5507,39,T,1.0000,1.0000,9,v1,/rds/user/sr2173/hpc-work/proteina/store/proteina_60m_repa_l4_256_per_residue/checkpoints/chk_epoch=00000022_step=000000400000-EMA.ckpt,
